id;contenu;date;domaine_id;recopie_tel_quel;journee_generique;date_creation;pays_id
11;Décès d'Alfred Nobel ;1896-12-10;1;;;11/12/2013;1
14;Première planète en dehors du système solaire découverte;10/12/1984;1;;;11/12/2013;1
15;Le prix Nobel est décerné à Yitzhak Rabin, Shimon Peres et Yasser Arafat;10/12/1994;3;;;11/12/2013;1
12;Adoption de la déclaration universelle des droits de l'homme par l'ONU;10/12/1948;3;;;11/12/2013;1
16;Naissance de Gonzalo Higuaín footballeur franco-argentin;10/12/1987;4;;;11/12/2013;1
17;Sortie du jeu Doom sur PC, dont la violence scandalise.;10/12/1993;7;;;11/12/2013;1
18;Jour de l'érable à sucre ... une recette ?;11/12/2013;6;;;11/12/2013;1
13; Jean Henri Dunant, Frederic Passy;10/12/1901;1;;;11/12/2013;1
19;Il reste 20 jours avant la fin de l'année;11/12/2013;7;;;11/12/2013;1
20;Le 11 décembre 1582 n'existe pas en France ... pour cause d'adoption de calendrier grégorien.;1582-12-11;3;;;11/12/2013;1
21;Début du procès de Louis XVI devant la Convention.;1792-12-11;3;;;11/12/2013;1
22;L'UNICEF est créée par les Nations unies.;11/12/1946;3;;;11/12/2013;1
23;Adoption du protocole de Kyoto par 159 pays, avec l'objectif de réduire l'émission de gaz à effet de serre.;11/12/1997;7;;;11/12/2013;1
9;élection de Louis-Napoléon Bonaparte à la présidence de la République.;1848-12-10;3;;;11/12/2013;1
10;La France adopte le mètre comme unité officielle de longueur. ;1799-12-10;1;;;11/12/2013;1
